epoch,gen_loss,disc_loss
1,[13.860385],2.0010083
2,[15.431268],2.000596
3,[12.088992],1.9997817
4,[10.635969],1.9980068
5,[10.743135],1.9968176
6,[10.616288],1.9962025
7,[9.946331],1.995866
8,[9.366362],1.995674
9,[9.044667],1.9949822
10,[8.811428],1.9943272
11,[8.572338],1.9936974
12,[8.327707],1.9933214
13,[8.090044],1.9924393
14,[7.8573327],1.9915434
15,[7.626321],1.9908795
16,[7.414375],1.9900231
17,[7.2289453],1.9892747
18,[7.0553093],1.9888163
19,[6.887975],1.9884039
20,[6.7215242],1.9876646
21,[6.553508],1.9869173
22,[6.3859696],1.9861609
23,[6.2231483],1.985271
24,[6.0681],1.9841373
25,[5.9230947],1.9830416
26,[5.787104],1.9819787
27,[5.6587763],1.9811492
28,[5.535866],1.9804549
29,[5.4164853],1.9798161
30,[5.2992587],1.9789494
31,[5.1856475],1.9779661
32,[5.077532],1.9770532
33,[4.972927],1.9761922
34,[4.870423],1.9754658
35,[4.7708945],1.9747516
36,[4.675184],1.9739666
37,[4.582798],1.9731814
38,[4.4935117],1.9723771
39,[4.4067383],1.9716705
40,[4.3209043],1.9708053
41,[4.2357283],1.9699005
42,[4.153558],1.9691058
43,[4.074195],1.9683979
44,[3.997193],1.967644
45,[3.9211714],1.9668181
46,[3.8472574],1.9659126
47,[3.776332],1.9651328
48,[3.7068744],1.9644196
49,[3.638455],1.9637609
50,[3.5721533],1.9630653
51,[3.5082452],1.9622481
52,[3.445806],1.9614232
53,[3.3846009],1.9606159
54,[3.325622],1.9598141
55,[3.2688856],1.9590037
56,[3.213174],1.9581606
57,[3.1589894],1.9573004
58,[3.1069953],1.9564021
59,[3.056314],1.9555109
60,[3.0067608],1.9546852
61,[2.9585078],1.953894
62,[2.9117067],1.9531043
63,[2.8660645],1.9523084
64,[2.8215833],1.9515254
65,[2.778468],1.9507558
66,[2.7364607],1.9499669
67,[2.695498],1.9491483
68,[2.65574],1.9482958
69,[2.6169715],1.9474392
70,[2.5793386],1.9466164
71,[2.5427928],1.9458388
72,[2.5070946],1.9450651
73,[2.4723516],1.9443076
74,[2.4385192],1.9435415
75,[2.4055674],1.9427804
76,[2.3734376],1.942054
77,[2.3421519],1.9413579
78,[2.3114874],1.9406466
79,[2.2817461],1.9399414
80,[2.2526996],1.9392321
81,[2.2243292],1.9385283
82,[2.1966233],1.9377853
83,[2.1694617],1.9369833
84,[2.1429164],1.9361639
85,[2.1169853],1.9353836
86,[2.0915844],1.9346112
87,[2.0667534],1.9338248
88,[2.042509],1.9330362
89,[2.0188177],1.9322509
90,[1.995693],1.9314439
91,[1.973068],1.9306324
92,[1.9508727],1.9298153
93,[1.9292088],1.9289887
94,[1.9079783],1.9281675
95,[1.887162],1.9273719
96,[1.866816],1.9265647
97,[1.8468903],1.9257646
98,[1.8273848],1.9249635
99,[1.8082678],1.9241459
100,[1.7895325],1.9233289
101,[1.771187],1.9225309
102,[1.753195],1.9217315
103,[1.7355211],1.920926
104,[1.7182081],1.920157
105,[1.7012438],1.9193628
106,[1.6845936],1.9185466
107,[1.6682844],1.9177566
108,[1.6522932],1.9169573
109,[1.6366212],1.9161193
110,[1.6212428],1.9152865
111,[1.606141],1.9144235
112,[1.5913554],1.9135661
113,[1.5768408],1.9127309
114,[1.5625896],1.9118707
115,[1.5485864],1.9109982
116,[1.5348604],1.9101591
117,[1.521389],1.9093287
118,[1.5081844],1.9084934
119,[1.4952308],1.9076623
120,[1.4824892],1.9068162
121,[1.469963],1.9059399
122,[1.4576464],1.9051127
123,[1.4455315],1.9042985
124,[1.4336324],1.9034619
125,[1.4219218],1.9025841
126,[1.4104218],1.901702
127,[1.3991132],1.9008265
128,[1.387997],1.8999679
129,[1.3770646],1.8991015
130,[1.366301],1.8982066
131,[1.3557308],1.8973651
132,[1.3453494],1.896483
133,[1.335146],1.8956382
134,[1.3251114],1.8947444
135,[1.3152444],1.8938966
136,[1.3055372],1.8929453
137,[1.2959576],1.8921044
138,[1.286533],1.8911774
139,[1.2772713],1.8903306
140,[1.2681721],1.8894253
141,[1.2591947],1.8885107
142,[1.2503521],1.8875854
143,[1.241626],1.8866999
144,[1.2330669],1.8857491
145,[1.224628],1.8848808
146,[1.2163184],1.883887
147,[1.2081261],1.8830427
148,[1.2001109],1.8821055
149,[1.192239],1.881196
150,[1.1843573],1.8802284
151,[1.1765053],1.87932
152,[1.1687391],1.8783481
153,[1.1611791],1.8773992
154,[1.1537608],1.8764153
155,[1.1464696],1.8754511
156,[1.1392838],1.8744965
157,[1.1322224],1.8735294
158,[1.1253399],1.8725975
159,[1.1186293],1.8714763
160,[1.1118833],1.8706621
161,[1.1050663],1.8695352
162,[1.0983368],1.868681
163,[1.091739],1.867585
164,[1.0853019],1.8665953
165,[1.0789932],1.8656316
166,[1.072671],1.8645793
167,[1.0663188],1.8636045
168,[1.059952],1.8625216
169,[1.0537407],1.8615091
170,[1.0478308],1.8604548
171,[1.0421779],1.8594445
172,[1.0365767],1.8584256
173,[1.0308775],1.857412
174,[1.0249997],1.8563006
175,[1.0191722],1.8553913
176,[1.0135546],1.854289
177,[1.0081298],1.8532945
178,[1.0027282],1.8522274
179,[0.9972289],1.851182
180,[0.99171686],1.8500928
181,[0.98641557],1.8490684
182,[0.98137116],1.848017
183,[0.97657055],1.8469334
184,[0.97177905],1.8460042
185,[0.9669044],1.8447589
186,[0.9618265],1.8438523
187,[0.9566196],1.8426286
188,[0.95149386],1.8416176
189,[0.9465895],1.8405207
190,[0.94191873],1.8393424
191,[0.937357],1.838408
192,[0.9327956],1.8371267
193,[0.9280936],1.8361968
194,[0.9234195],1.8349818
195,[0.91886365],1.8338875
196,[0.9144064],1.8328598
197,[0.9100388],1.8316135
198,[0.9056423],1.8306886
199,[0.9012991],1.8293734
200,[0.89712477],1.8283827
201,[0.8930267],1.8272429
202,[0.88891965],1.8261063
203,[0.8846834],1.8250661
204,[0.88048446],1.8238375
205,[0.87636673],1.8227999
206,[0.87252134],1.8216054
207,[0.8688823],1.8204839
208,[0.865074],1.819473
209,[0.8611219],1.8181882
210,[0.8570212],1.8171523
211,[0.85304296],1.8159034
212,[0.84926957],1.8148317
213,[0.8455114],1.8136461
214,[0.8416658],1.8124523
215,[0.83779526],1.8113891
216,[0.83404124],1.810138
217,[0.8305446],1.8090721
218,[0.8271818],1.80795
219,[0.82365966],1.8066795
220,[0.8199564],1.8055859
221,[0.8162774],1.8043718
222,[0.81295824],1.8032906
223,[0.8099438],1.8021322
224,[0.80696243],1.8010037
225,[0.8038113],1.7999672
226,[0.8007482],1.7985592
227,[0.797513],1.797759
228,[0.7939218],1.7962008
229,[0.79003686],1.7951828
230,[0.78635705],1.7940345
231,[0.78313],1.7926276
232,[0.7801642],1.7917104
233,[0.7771946],1.7902751
234,[0.77402115],1.7893039
235,[0.7709215],1.78805
236,[0.7679173],1.786796
237,[0.7649106],1.7858016
238,[0.7617711],1.7843916
239,[0.7586492],1.783299
240,[0.75560623],1.7820404
241,[0.7526672],1.7807604
242,[0.7498743],1.7797711
243,[0.7471899],1.7782118
244,[0.74454623],1.7772236
245,[0.74202526],1.7759607
246,[0.73937196],1.7746892
247,[0.7365126],1.7736722
248,[0.73366135],1.7721448
249,[0.7308927],1.7711062
250,[0.7279816],1.769795
251,[0.72495437],1.7684925
252,[0.7221499],1.767304
253,[0.71980697],1.7659733
254,[0.7177215],1.7648526
255,[0.7152324],1.7634432
256,[0.7123164],1.7623397
257,[0.70951337],1.7609284
258,[0.7072159],1.7598681
259,[0.7051338],1.7584786
260,[0.70259845],1.7572398
261,[0.6997717],1.7559605
262,[0.6971421],1.754621
263,[0.69478726],1.7532797
264,[0.6923428],1.7521293
265,[0.689636],1.7507141
266,[0.68696946],1.7494991
267,[0.68464494],1.7481661
268,[0.68242544],1.7468522
269,[0.6802279],1.7458191
270,[0.67791325],1.7443298
271,[0.6754579],1.7431864
272,[0.6731066],1.7417834
273,[0.6709268],1.740575
274,[0.6688591],1.7394445
275,[0.66686094],1.7378896
276,[0.66480553],1.7370558
277,[0.6624868],1.7353657
278,[0.6602186],1.7343256
279,[0.65817106],1.7329582
280,[0.6564118],1.7316282
281,[0.65444434],1.7307792
282,[0.6521825],1.7290874
283,[0.6497136],1.728095
284,[0.64732915],1.7266219
285,[0.6450246],1.7252668
286,[0.64279467],1.7241615
287,[0.6407331],1.7227309
288,[0.638758],1.7215102
289,[0.6368338],1.7202032
290,[0.6349247],1.7189789
291,[0.63305306],1.7178073
292,[0.6312137],1.7163653
293,[0.6292973],1.7151873
294,[0.62717795],1.7139931
295,[0.6250278],1.7125473
296,[0.6230463],1.7114699
297,[0.62136155],1.7100267
298,[0.61955523],1.7089989
299,[0.61754006],1.7075651
300,[0.6154781],1.7063067
301,[0.61368865],1.7052381
302,[0.6120131],1.7037086
303,[0.6100512],1.7028344
304,[0.6078399],1.7011497
305,[0.6058596],1.7001003
306,[0.60434383],1.6988931
307,[0.60297084],1.6975247
308,[0.60130644],1.6964517
309,[0.5993474],1.6950729
310,[0.597362],1.6939456
311,[0.59555745],1.6926465
312,[0.5938507],1.6912789
313,[0.59211123],1.6901741
314,[0.5903901],1.6888489
315,[0.58870876],1.6876425
316,[0.5871706],1.6863708
317,[0.5854701],1.6849734
318,[0.5838217],1.6840429
319,[0.58229125],1.6823003
320,[0.5805887],1.6816185
321,[0.5786972],1.6799465
322,[0.57705367],1.678837
323,[0.57590276],1.6776339
324,[0.5747138],1.6763123
325,[0.5728668],1.6752293
326,[0.5706011],1.6737183
327,[0.56863606],1.6724366
328,[0.5671346],1.6713598
329,[0.5658181],1.6698813
330,[0.5643226],1.6687799
331,[0.56274563],1.6675256
332,[0.56149435],1.6661127
333,[0.5605366],1.6653658
334,[0.5592818],1.6635787
335,[0.55740196],1.6628122
336,[0.55541176],1.6610532
337,[0.55375797],1.6599779
338,[0.5524053],1.6588457
339,[0.5511974],1.6573308
340,[0.5500158],1.6565554
341,[0.5486682],1.6549457
342,[0.5469879],1.6538974
343,[0.54520875],1.6525669
344,[0.54366416],1.6511946
345,[0.5422839],1.650008
346,[0.54079676],1.6486578
347,[0.5392444],1.6475486
348,[0.53783935],1.6461899
349,[0.53667724],1.6449609
350,[0.5354481],1.643929
351,[0.5339092],1.6425195
352,[0.53221726],1.6411861
353,[0.5307838],1.6400852
354,[0.5296761],1.6385502
355,[0.52862626],1.6378583
356,[0.5273015],1.6360984
357,[0.5257131],1.635326
358,[0.5242415],1.6337125
359,[0.52300006],1.6326649
360,[0.5217864],1.6314769
361,[0.5204378],1.6300579
362,[0.5189702],1.6290123
363,[0.517685],1.6276145
364,[0.51680076],1.6265011
365,[0.51624024],1.6254272
366,[0.5155579],1.6242875
367,[0.51414627],1.6231986
368,[0.5127035],1.6216725
369,[0.5110165],1.6207118
370,[0.5092388],1.619129
371,[0.507604],1.6180654
372,[0.506387],1.6167604
373,[0.5056215],1.6157138
374,[0.50486207],1.6145698
375,[0.50375324],1.6134417
376,[0.50226957],1.6121383
377,[0.5008687],1.6110473
378,[0.4996661],1.6096354
379,[0.49851993],1.6087992
380,[0.49737895],1.6073143
381,[0.49626395],1.6063244
382,[0.49517757],1.6051025
383,[0.49391738],1.6039934
384,[0.4925032],1.6027148
385,[0.49118584],1.601599
386,[0.49026987],1.6003857
387,[0.48960876],1.5994818
388,[0.48861614],1.5980954
389,[0.48704475],1.5970573
390,[0.48546487],1.595622
391,[0.48425257],1.5946232
392,[0.4833994],1.5932992
393,[0.48258227],1.59238
394,[0.4815278],1.5910679
395,[0.48035148],1.5900216
396,[0.47913367],1.5887597
397,[0.47789592],1.5875334
398,[0.4765491],1.5864516
399,[0.4752835],1.5851388
400,[0.47424814],1.5840172
401,[0.47342208],1.5829031
402,[0.47258198],1.5816625
403,[0.47155124],1.5806335
404,[0.47049132],1.5792878
405,[0.46963632],1.5784853
406,[0.4692286],1.5769882
407,[0.46884224],1.5765212
408,[0.46816194],1.5747457
409,[0.4667371],1.5740247
410,[0.46503568],1.5723181
411,[0.46330556],1.571105
412,[0.4619259],1.5700235
413,[0.46089876],1.5684476
414,[0.4601593],1.5677814
415,[0.4595386],1.5663604
416,[0.4586921],1.565578
417,[0.4574957],1.5640485
418,[0.45604265],1.5628276
419,[0.45480743],1.5617498
420,[0.45402083],1.5604186
421,[0.4534436],1.5597742
422,[0.45281607],1.558295
423,[0.45169714],1.5573072
424,[0.45058456],1.5559411
425,[0.4493373],1.5548635
426,[0.44824004],1.5536748
427,[0.44713017],1.5526246
428,[0.44614166],1.5514989
429,[0.4453416],1.5502788
430,[0.44461823],1.5493944
431,[0.4437387],1.5479989
432,[0.44256184],1.5471704
433,[0.44134805],1.5458679
434,[0.44037884],1.5447925
435,[0.43981385],1.5436234
436,[0.43952048],1.5428727
437,[0.4389477],1.5414364
438,[0.43792045],1.5405996
439,[0.43661377],1.5392513
440,[0.4354387],1.5382504
441,[0.43436027],1.5368059
442,[0.43337798],1.5359206
443,[0.43244523],1.5347371
444,[0.43160442],1.5337648
445,[0.43077654],1.5326903
446,[0.4297967],1.5315051
447,[0.42876488],1.5305593
448,[0.42771745],1.5293379
449,[0.4269133],1.5283828
450,[0.42641866],1.5270758
451,[0.42589322],1.5263727
452,[0.425169],1.5248346
453,[0.42407656],1.5242403
454,[0.42307472],1.5226089
455,[0.42222646],1.5219369
456,[0.4214474],1.5205007
457,[0.42046642],1.5195436
458,[0.41934276],1.5182295
459,[0.41835484],1.5173205
460,[0.4175797],1.5161132
461,[0.41691166],1.5150561
462,[0.4162219],1.5143113
463,[0.41555473],1.5125539
464,[0.41499346],1.5124472
465,[0.4144423],1.5104994
466,[0.4136467],1.5100865
467,[0.41247457],1.5085955
468,[0.4111078],1.507149
469,[0.4099397],1.506584
470,[0.40911257],1.5046418
471,[0.40849578],1.5045495
472,[0.40785888],1.5023499
473,[0.40701285],1.5023704
474,[0.4061074],1.5004349
475,[0.4052208],1.4996063
476,[0.40450904],1.4986438
477,[0.40393278],1.4969101
478,[0.40319824],1.4967413
479,[0.40232366],1.4944816
480,[0.4014404],1.4941018
481,[0.40070632],1.4925508
482,[0.4000557],1.4914501
483,[0.39934465],1.4906029
484,[0.3985614],1.4890436
485,[0.39774466],1.4883199
486,[0.39706394],1.4867207
487,[0.39646938],1.4861181
488,[0.39585876],1.4844115
489,[0.3949709],1.4838254
490,[0.39398992],1.4822292
491,[0.39305022],1.4812238
492,[0.39230752],1.4802277
493,[0.3916382],1.4787722
494,[0.39095324],1.4782672
495,[0.39017287],1.4762177
496,[0.3893703],1.4759936
497,[0.38861117],1.4740292
498,[0.38788277],1.4730339
499,[0.38718218],1.4722488
500,[0.38657054],1.4704837
