epoch,gen_loss,disc_loss
1,[9.172709],2.0009751
2,[9.03157],1.9952703
3,[8.898527],1.9899906
4,[8.773498],1.984956
5,[8.656416],1.9801829
6,[8.547398],1.9755936
7,[8.4460945],1.9711571
8,[8.352222],1.9668664
9,[8.265789],1.9626791
10,[8.186438],1.9585774
11,[8.113836],1.9545755
12,[8.047694],1.9506617
13,[7.9874945],1.94679
14,[7.932922],1.9429398
15,[7.8833146],1.9391309
16,[7.8383174],1.9353436
17,[7.797739],1.9315379
18,[7.7609825],1.9277264
19,[7.7276273],1.9238684
20,[7.6970725],1.919955
21,[7.6687903],1.9159796
22,[7.642371],1.9119532
23,[7.6174827],1.9078674
24,[7.5939617],1.903711
25,[7.5714874],1.8995044
26,[7.549799],1.8952144
27,[7.5287523],1.8908331
28,[7.508214],1.8863472
29,[7.4880476],1.8817992
30,[7.4681897],1.8771758
31,[7.4486003],1.8724785
32,[7.4292774],1.8677212
33,[7.410184],1.8629158
34,[7.3912754],1.8580496
35,[7.3724785],1.8531234
36,[7.3537936],1.8481276
37,[7.335233],1.8430882
38,[7.3167567],1.83799
39,[7.2983923],1.832834
40,[7.280128],1.8276258
41,[7.2619963],1.822393
42,[7.244024],1.8171246
43,[7.226196],1.8118229
44,[7.2084823],1.8064876
45,[7.1908846],1.8011124
46,[7.173454],1.7956959
47,[7.1561937],1.7902391
48,[7.139085],1.7847536
49,[7.1220937],1.7792282
50,[7.1052465],1.7736456
51,[7.088536],1.7680132
52,[7.0719233],1.7623274
53,[7.0554185],1.7566004
54,[7.039022],1.7508624
55,[7.02272],1.7450876
56,[7.006543],1.7392702
57,[6.990484],1.7334064
58,[6.974546],1.7274787
59,[6.95871],1.7215004
60,[6.9429607],1.7154689
61,[6.9272966],1.7093894
62,[6.911736],1.7032746
63,[6.8962846],1.6971402
64,[6.8809385],1.6909683
65,[6.865656],1.6847483
66,[6.8504558],1.678508
67,[6.835323],1.6722556
68,[6.820271],1.6659746
69,[6.805294],1.6596653
70,[6.790387],1.6533387
71,[6.775556],1.6470287
72,[6.7607784],1.6407018
73,[6.7460513],1.6343184
74,[6.7313743],1.6279154
75,[6.7167444],1.6215005
76,[6.7021646],1.6150291
77,[6.687629],1.6085306
78,[6.6731267],1.602063
79,[6.6586356],1.5956337
80,[6.6441693],1.5892043
81,[6.629742],1.5827594
82,[6.6153603],1.5763454
83,[6.6010184],1.569932
84,[6.5867314],1.5634848
85,[6.572496],1.5570512
86,[6.558287],1.5506237
87,[6.5441036],1.544182
88,[6.529941],1.5377303
89,[6.515771],1.5313065
90,[6.5016065],1.5249107
91,[6.4874444],1.5185301
92,[6.473267],1.5122043
93,[6.4590745],1.5058994
94,[6.4448614],1.4996893
95,[6.430637],1.4935265
96,[6.41638],1.4873853
