epoch,gen_loss,disc_loss
217,[0.83458704],1.8052847
218,[0.8310131],1.8041748
219,[0.827444],1.8029063
220,[0.82387084],1.8018017
221,[0.8202806],1.800507
222,[0.8167173],1.7993617
223,[0.81316376],1.798142
224,[0.80963445],1.7969831
225,[0.8061582],1.7957973
226,[0.8027562],1.7945662
227,[0.7994506],1.7934256
228,[0.7961806],1.7921778
229,[0.7928492],1.7910002
230,[0.789468],1.7897819
231,[0.78610367],1.7885647
232,[0.7828854],1.7873862
233,[0.77979416],1.7862074
234,[0.7767459],1.7850457
235,[0.7736882],1.7838292
236,[0.77056175],1.7826605
237,[0.7673755],1.7813942
238,[0.7641991],1.7801676
239,[0.76110774],1.7789156
240,[0.7580988],1.777674
241,[0.7550957],1.7764401
242,[0.7521117],1.77524
243,[0.7491176],1.774015
244,[0.7462085],1.7727792
245,[0.7433613],1.7715856
246,[0.7405659],1.7703228
247,[0.7377726],1.7690955
248,[0.7349707],1.7678559
249,[0.7321138],1.766615
250,[0.72924525],1.7654202
251,[0.72650355],1.7641568
252,[0.72389376],1.7630036
253,[0.7212865],1.7617649
254,[0.7185941],1.7605854
255,[0.7157441],1.7593081
256,[0.7129188],1.7580521
257,[0.7101935],1.7568133
258,[0.707592],1.7556071
259,[0.70509535],1.7543782
260,[0.70262873],1.7531669
261,[0.7002037],1.7519822
262,[0.697749],1.7506716
263,[0.6952756],1.7495358
264,[0.6927659],1.7482301
265,[0.6902554],1.7470193
266,[0.6877774],1.74579
267,[0.68526584],1.7445164
268,[0.6827427],1.7432781
269,[0.6803219],1.7419665
270,[0.6780189],1.7407374
271,[0.67578846],1.7394927
272,[0.6735065],1.7382493
273,[0.671075],1.7370138
274,[0.6686693],1.735733
275,[0.6663616],1.7344594
276,[0.6642305],1.7331424
277,[0.66218823],1.7319465
278,[0.6600442],1.730625
279,[0.6576507],1.7293972
280,[0.65514684],1.7280061
281,[0.6528053],1.7267294
282,[0.65069133],1.7254316
283,[0.64872444],1.7241304
284,[0.64674157],1.7229623
285,[0.6446106],1.721561
286,[0.6423323],1.7203085
287,[0.6400846],1.7189627
288,[0.6379627],1.7176583
289,[0.63600814],1.716383
290,[0.63414246],1.7150859
291,[0.63219106],1.7138515
292,[0.6300522],1.7125013
293,[0.62793493],1.7111756
294,[0.6259674],1.7098265
295,[0.6242176],1.7085315
296,[0.6224808],1.7072725
297,[0.6205712],1.7058418
298,[0.61841035],1.7046412
299,[0.6162963],1.7031605
300,[0.614273],1.7018657
301,[0.61243546],1.7005405
302,[0.6107206],1.6990986
303,[0.6089945],1.6979787
304,[0.6071144],1.6964748
305,[0.60510546],1.6952873
306,[0.60317755],1.693825
307,[0.6014648],1.6925128
308,[0.5998971],1.6911948
309,[0.59818727],1.6897943
310,[0.59627706],1.6885722
311,[0.5942577],1.6871433
312,[0.5923647],1.6858362
313,[0.59063745],1.6845456
314,[0.5890307],1.6831836
315,[0.58748096],1.6819482
316,[0.5858849],1.6805694
317,[0.58414286],1.6792424
318,[0.58229864],1.6779294
319,[0.58060735],1.6765509
320,[0.5790154],1.6752883
321,[0.57744336],1.673835
322,[0.5757252],1.6725993
323,[0.5739581],1.6711402
324,[0.5722771],1.669853
325,[0.5708245],1.6685553
326,[0.5695042],1.6671184
327,[0.5680811],1.6659335
328,[0.5664171],1.6644013
329,[0.5646787],1.6631987
330,[0.563001],1.6617413
331,[0.5614526],1.6604125
332,[0.55986524],1.6591002
333,[0.5581973],1.6576511
334,[0.5564986],1.6564207
335,[0.5549444],1.6549218
336,[0.55350816],1.6537075
