epoch,gen_loss,disc_loss
1,[4.4555864],1.9982553
2,[4.4028187],1.9953232
3,[4.353793],1.9924746
4,[4.3086014],1.9897225
5,[4.2671256],1.9870667
6,[4.229202],1.9845281
7,[4.1945896],1.9820639
8,[4.1630254],1.9796963
9,[4.134413],1.9774057
10,[4.108429],1.9751971
11,[4.084733],1.973078
12,[4.063117],1.970993
13,[4.0431814],1.9689467
14,[4.024663],1.9669006
15,[4.0072603],1.9648907
16,[3.9908342],1.9629084
17,[3.975153],1.9609474
18,[3.960112],1.9589778
19,[3.9456475],1.9570289
20,[3.9317002],1.9550766
21,[3.9182193],1.9531212
22,[3.9051507],1.9511938
23,[3.8924596],1.9492311
24,[3.8801112],1.947273
25,[3.868076],1.9452941
26,[3.8563414],1.9432847
27,[3.8448577],1.9412503
28,[3.8335705],1.9391947
29,[3.8224456],1.9371033
30,[3.8114557],1.9349903
31,[3.800585],1.9328682
32,[3.78983],1.9307168
33,[3.7791903],1.928544
34,[3.7686589],1.9263563
35,[3.7582464],1.9241589
36,[3.74798],1.9219416
37,[3.7378325],1.9196976
38,[3.7278144],1.9174356
39,[3.7179272],1.9151559
40,[3.7081778],1.9128715
41,[3.6985445],1.9105735
42,[3.6890097],1.9082553
43,[3.6795726],1.905914
44,[3.6702318],1.9035525
45,[3.660954],1.9011674
46,[3.651743],1.898777
47,[3.6426055],1.8963608
48,[3.6335511],1.8939061
49,[3.6245646],1.891434
50,[3.615648],1.8889415
51,[3.6068137],1.8864388
52,[3.5980465],1.8839368
53,[3.5893495],1.8814262
54,[3.5807314],1.8789055
55,[3.5721788],1.8763802
56,[3.5636928],1.8738577
57,[3.555285],1.8713148
58,[3.5469427],1.8687572
59,[3.5386574],1.8661883
60,[3.5304332],1.863603
61,[3.522276],1.8610162
62,[3.5141706],1.8584127
63,[3.5061157],1.8557919
64,[3.498107],1.8531586
65,[3.4901488],1.8505185
66,[3.4822347],1.8478608
67,[3.4743636],1.8451953
68,[3.4665499],1.8425276
69,[3.4587798],1.839853
70,[3.4510508],1.8371758
71,[3.443368],1.8344948
72,[3.4357316],1.8318112
73,[3.4281445],1.8291205
74,[3.4205937],1.8264282
75,[3.4130824],1.8237348
76,[3.4056125],1.8210304
77,[3.3981872],1.8183188
78,[3.390801],1.815607
79,[3.383464],1.812875
80,[3.376176],1.8101351
81,[3.3689334],1.8073915
82,[3.3617368],1.8046293
83,[3.3545897],1.8018616
84,[3.347484],1.7990792
85,[3.3404212],1.7962849
