epoch,gen_loss,disc_loss
229,[7.9539094],1.3008655
230,[7.9357553],1.2980349
231,[7.9176526],1.2952261
232,[7.8995914],1.2924356
233,[7.8815823],1.289683
234,[7.8636227],1.2869439
235,[7.845701],1.2842288
236,[7.8278365],1.2815282
237,[7.810007],1.2788529
238,[7.792218],1.2761958
239,[7.774482],1.2735631
240,[7.7567773],1.2709565
241,[7.7391105],1.268364
242,[7.721486],1.2657847
243,[7.703914],1.2632227
244,[7.6863737],1.260695
245,[7.6688733],1.258198
246,[7.65141],1.2557291
247,[7.6339755],1.2532873
248,[7.616591],1.2508631
249,[7.5992374],1.2484688
250,[7.581923],1.246098
251,[7.5646415],1.2437432
252,[7.547393],1.2414054
253,[7.530177],1.2390935
254,[7.5129914],1.236815
255,[7.49583],1.2345686
256,[7.4787006],1.2323439
257,[7.461596],1.2301345
258,[7.444525],1.2279444
259,[7.4274926],1.2257645
260,[7.410496],1.2236023
261,[7.3935404],1.2214541
262,[7.3766255],1.2193224
263,[7.3597403],1.2172065
264,[7.3428783],1.2151077
265,[7.3260527],1.2130284
266,[7.309271],1.2109716
267,[7.292522],1.2089396
268,[7.2757983],1.2069285
269,[7.2591105],1.2049427
270,[7.2424498],1.2029737
271,[7.225829],1.2010207
272,[7.209254],1.1990881
273,[7.1927166],1.197174
274,[7.176224],1.1952763
275,[7.15977],1.193393
276,[7.1433344],1.1915177
277,[7.1269226],1.189657
278,[7.1105566],1.1878132
279,[7.094236],1.1859875
280,[7.077968],1.184184
281,[7.061737],1.1824019
282,[7.045537],1.1806446
283,[7.02937],1.1789063
284,[7.0132556],1.1771863
285,[6.9971795],1.1754804
286,[6.981147],1.1737856
287,[6.96514],1.172107
288,[6.949181],1.1704464
289,[6.9332705],1.1687964
290,[6.917407],1.1671637
291,[6.9015765],1.165551
292,[6.885784],1.1639581
293,[6.8700323],1.162386
294,[6.854315],1.1608374
295,[6.838636],1.1593101
296,[6.8229976],1.1577982
297,[6.8073974],1.1563015
298,[6.791845],1.1548194
299,[6.77633],1.1533532
300,[6.760846],1.1519067
301,[6.7454147],1.1504755
302,[6.7300363],1.1490543
303,[6.7147045],1.1476521
304,[6.6994],1.146269
305,[6.684141],1.1448987
306,[6.6689234],1.1435454
307,[6.65374],1.1422085
308,[6.6385827],1.1408887
309,[6.623451],1.139585
310,[6.608355],1.1382966
311,[6.5932894],1.1370187
312,[6.5782623],1.1357481
313,[6.563274],1.1344893
314,[6.5483346],1.133242
315,[6.533427],1.1320084
316,[6.5185504],1.130786
317,[6.503697],1.1295786
318,[6.48887],1.1283867
319,[6.4740677],1.1272101
320,[6.4592957],1.1260488
321,[6.4445605],1.1249037
322,[6.429871],1.123774
323,[6.4152393],1.1226554
324,[6.400647],1.1215463
325,[6.386088],1.1204472
326,[6.3715763],1.1193571
327,[6.3571076],1.1182833
328,[6.342691],1.1172214
329,[6.3283224],1.1161714
330,[6.3139987],1.1151316
331,[6.299727],1.1141021
332,[6.2855],1.1130818
333,[6.2713175],1.1120718
334,[6.2571745],1.111073
335,[6.2430735],1.1100878
336,[6.229005],1.1091135
337,[6.214971],1.1081488
338,[6.2009745],1.1071947
339,[6.187021],1.106246
340,[6.173113],1.1053054
341,[6.159247],1.1043732
342,[6.1454268],1.1034498
343,[6.1316547],1.1025352
344,[6.117921],1.1016297
345,[6.10422],1.1007311
346,[6.0905647],1.0998409
347,[6.0769506],1.0989611
348,[6.063375],1.0980849
349,[6.049839],1.0972154
350,[6.0363393],1.0963557
351,[6.022866],1.0955038
352,[6.0094266],1.094659
353,[5.996018],1.0938206
354,[5.982638],1.0929887
355,[5.969281],1.0921662
356,[5.9559536],1.0913527
357,[5.9426527],1.0905468
358,[5.929388],1.0897479
359,[5.916163],1.0889554
360,[5.902966],1.0881686
361,[5.8898005],1.0873884
362,[5.876672],1.0866153
